"external_urls__spotify","followers__href","followers__total","genres__001","genres__002","genres__003","genres__004","genres__005","href","id","images__height","images__url","images__width","name","popularity","type","uri","genres__006","genres__007","genres__008","genres__009","genres__010","genres__011","genres__012","genres__013","genres__014","genres__015","genres__016","genres__017","genres__018","genres__019"
"https://open.spotify.com/artist/36pCa1JHc6hlGbfEmLzJQc","null","57986","ambient","art pop","compositional ambient","drift","drone","https://api.spotify.com/v1/artists/36pCa1JHc6hlGbfEmLzJQc","36pCa1JHc6hlGbfEmLzJQc","640","https://i.scdn.co/image/9b8a1c6206ac3e9faaf30a45c503472d23517f86","640","Stars Of The Lid","50","artist","spotify:artist:36pCa1JHc6hlGbfEmLzJQc","fourth world","post-rock","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/6c01767b8638c88e468522fc1db7413f5732a40a","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/4df0a89808cd4a9c273944012fc8a84c8620e386","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/4iom7VVRU6AHRIu1JUXpLG","null","109465","dark post-punk","western mass indie","","","","https://api.spotify.com/v1/artists/4iom7VVRU6AHRIu1JUXpLG","4iom7VVRU6AHRIu1JUXpLG","640","https://i.scdn.co/image/1bf3f75c763ffafd7c9c404a0c6ae23592616638","640","Boy Harsher","54","artist","spotify:artist:4iom7VVRU6AHRIu1JUXpLG","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/b5bf112baee665e78c59c0b73ad75c3ef032d0aa","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/b68eea9820f4c06abac9e17ff264d2cbb84a211a","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg","null","15530667","conscious hip hop","hip hop","rap","west coast rap","","https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg","2YZyLoL8N0Wb9xBt1NhZWg","640","https://i.scdn.co/image/3a836196bfb341f736c7fe2704fb75de53f8dfbb","640","Kendrick Lamar","90","artist","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/5259c0496329b3f608a1ae0edb799cd2f8451acc","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/b772a78d4cb192268d6f601a78f21044c17d6dda","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/0J8cNhY7V2NoRt9O6uCeUX","null","25769","ambient","ambient techno","cologne electronic","compositional ambient","drone","https://api.spotify.com/v1/artists/0J8cNhY7V2NoRt9O6uCeUX","0J8cNhY7V2NoRt9O6uCeUX","640","https://i.scdn.co/image/b596cf92a56b8e268e00b134b20573e8a81877ac","640","GAS","40","artist","spotify:artist:0J8cNhY7V2NoRt9O6uCeUX","dub techno","experimental","intelligent dance music","microhouse","minimal techno","outsider house","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/4ab50de5a10d4c4efaa9a9d4f834a8297362c81c","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/e42441e1c5767a7914dfbb40c9af7685b71de93a","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/2rcnAZ6DvORQ365X3zVYpr","null","61063","abstract","ambient","compositional ambient","drift","drone","https://api.spotify.com/v1/artists/2rcnAZ6DvORQ365X3zVYpr","2rcnAZ6DvORQ365X3zVYpr","665","https://i.scdn.co/image/27d5f3835207c457a51e06dfad8ead34d75901ea","1000","Biosphere","49","artist","spotify:artist:2rcnAZ6DvORQ365X3zVYpr","dub techno","fourth world","intelligent dance music","microhouse","minimal techno","nordic ambient","","","","","","","",""
"","","","","","","","","","","426","https://i.scdn.co/image/7e7e02c4025dcab8f8e7567116b6bc3f74664393","640","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","133","https://i.scdn.co/image/aa3e10b91a10bef3cb571c69bdfbe43de71b8313","200","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","43","https://i.scdn.co/image/f31758456ebfb777cad5623da0a303d64d104da2","64","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7","null","5164314","g funk","gangster rap","hip hop","rap","west coast rap","https://api.spotify.com/v1/artists/6DPYiyq5kWVQS4RGwxzPC7","6DPYiyq5kWVQS4RGwxzPC7","1005","https://i.scdn.co/image/83d2489cade1dadcdc533ddbcd74993d0ca6d4cb","1000","Dr. Dre","82","artist","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","","","","","","","","","","","","","",""
"","","","","","","","","","","643","https://i.scdn.co/image/170254ebdd747f4e7045df1cae8f11a42dc1a547","640","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","201","https://i.scdn.co/image/dd4a7102c5e1897bab2b1fa4bbc086fbe2fc87dc","200","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","64","https://i.scdn.co/image/85ebf2f6c52139b3384b596063678b47ab0fcb95","64","","","","","","","","","","","","","","","","","",""
