,external_urls__spotify,followers__href,followers__total,genres__001,genres__002,genres__003,genres__004,genres__005,href,id,images__height,images__url,images__width,name,popularity,type,uri,genres__006,genres__007,genres__008,genres__009,genres__010,genres__011,genres__012,genres__013,genres__014,genres__015,genres__016,genres__017,genres__018,genres__019
39,https://open.spotify.com/artist/4T2RgpFayjiBOoZ3i4tAUR,,5634.0,polish alternative rap,,,,,https://api.spotify.com/v1/artists/4T2RgpFayjiBOoZ3i4tAUR,4T2RgpFayjiBOoZ3i4tAUR,640,https://i.scdn.co/image/0152d8b72000c94d5b2efcbe4b9830fbc634e917,640,gej,32.0,artist,spotify:artist:4T2RgpFayjiBOoZ3i4tAUR,,,,,,,,,,,,,,
42,https://open.spotify.com/artist/5RADpgYLOuS2ZxDq7ggYYH,,503955.0,alternative hip hop,escape room,experimental hip hop,hip hop,industrial hip hop,https://api.spotify.com/v1/artists/5RADpgYLOuS2ZxDq7ggYYH,5RADpgYLOuS2ZxDq7ggYYH,750,https://i.scdn.co/image/b4421731b1edda8b8cc56bd74059305e3d3d3baf,750,gej,64.0,artist,spotify:artist:5RADpgYLOuS2ZxDq7ggYYH,,,,,,,,,,,,,,
46,https://open.spotify.com/artist/4frXpPxQQZwbCu3eTGnZEw,,578876.0,afrofuturism,hip hop,,,,https://api.spotify.com/v1/artists/4frXpPxQQZwbCu3eTGnZEw,4frXpPxQQZwbCu3eTGnZEw,640,https://i.scdn.co/image/2de0565d544c3cbdd2517b724930bb0dcee6a1c8,640,gej,72.0,artist,spotify:artist:4frXpPxQQZwbCu3eTGnZEw,,,,,,,,,,,,,,
49,https://open.spotify.com/artist/2DoQBgPsB9AdmWpIa2hUSz,,42365.0,ambient,art pop,compositional ambient,drone,electroacoustic improvisation,https://api.spotify.com/v1/artists/2DoQBgPsB9AdmWpIa2hUSz,2DoQBgPsB9AdmWpIa2hUSz,640,https://i.scdn.co/image/6f813b29bbcf1b2a48794ede042c2d3ffe40cd8f,640,gej,40.0,artist,spotify:artist:2DoQBgPsB9AdmWpIa2hUSz,experimental,experimental guitar,fourth world,freak folk,glitch,intelligent dance music,mandible,microhouse,,,,,,
52,https://open.spotify.com/artist/5a2w2tgpLwv26BYJf2qYwu,,170034.0,art pop,dance pop,deconstructed club,electropop,escape room,https://api.spotify.com/v1/artists/5a2w2tgpLwv26BYJf2qYwu,5a2w2tgpLwv26BYJf2qYwu,640,https://i.scdn.co/image/ced106b1ff9bb908a468b23c694b33d676c12281,640,gej,56.0,artist,spotify:artist:5a2w2tgpLwv26BYJf2qYwu,hyperpop,transpop,,,,,,,,,,,,
55,https://open.spotify.com/artist/3ND5NWoKzlelYDDyWqSQpQ,,50312.0,abstract,ambient,art pop,compositional ambient,drone,https://api.spotify.com/v1/artists/3ND5NWoKzlelYDDyWqSQpQ,3ND5NWoKzlelYDDyWqSQpQ,500,https://i.scdn.co/image/f39230585c8556eb40b2275b31f4b821c0d92953,500,gej,48.0,artist,spotify:artist:3ND5NWoKzlelYDDyWqSQpQ,dub techno,electronica,fourth world,intelligent dance music,j-ambient,japanese electronic,japanese idm,microhouse,minimal techno,,,,,
58,https://open.spotify.com/artist/1tcgfoMTT1szjUeaikxRjA,,433659.0,anime score,compositional ambient,japanese classical,japanese soundtrack,,https://api.spotify.com/v1/artists/1tcgfoMTT1szjUeaikxRjA,1tcgfoMTT1szjUeaikxRjA,640,https://i.scdn.co/image/122ba95a84dea6a5a3500ca594debd838c85336e,640,gej,62.0,artist,spotify:artist:1tcgfoMTT1szjUeaikxRjA,,,,,,,,,,,,,,
61,https://open.spotify.com/artist/6u5axd0rpDsWSmzhFfb2VB,,65174.0,ambient,art pop,compositional ambient,drift,drone,https://api.spotify.com/v1/artists/6u5axd0rpDsWSmzhFfb2VB,6u5axd0rpDsWSmzhFfb2VB,881,https://i.scdn.co/image/cffeb6989c23e31f5dd28a929a6a347e74b4c09c,1000,gej,46.0,artist,spotify:artist:6u5axd0rpDsWSmzhFfb2VB,experimental,fourth world,hauntology,intelligent dance music,microhouse,sound art,,,,,,,,
65,https://open.spotify.com/artist/36pCa1JHc6hlGbfEmLzJQc,,57986.0,ambient,art pop,compositional ambient,drift,drone,https://api.spotify.com/v1/artists/36pCa1JHc6hlGbfEmLzJQc,36pCa1JHc6hlGbfEmLzJQc,640,https://i.scdn.co/image/9b8a1c6206ac3e9faaf30a45c503472d23517f86,640,gej,50.0,artist,spotify:artist:36pCa1JHc6hlGbfEmLzJQc,fourth world,post-rock,,,,,,,,,,,,
68,https://open.spotify.com/artist/4iom7VVRU6AHRIu1JUXpLG,,109465.0,dark post-punk,western mass indie,,,,https://api.spotify.com/v1/artists/4iom7VVRU6AHRIu1JUXpLG,4iom7VVRU6AHRIu1JUXpLG,640,https://i.scdn.co/image/1bf3f75c763ffafd7c9c404a0c6ae23592616638,640,gej,54.0,artist,spotify:artist:4iom7VVRU6AHRIu1JUXpLG,,,,,,,,,,,,,,
71,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,,15530667.0,conscious hip hop,hip hop,rap,west coast rap,,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,640,https://i.scdn.co/image/3a836196bfb341f736c7fe2704fb75de53f8dfbb,640,gej,90.0,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,,,,,,,,,,,,,,
74,https://open.spotify.com/artist/0J8cNhY7V2NoRt9O6uCeUX,,25769.0,ambient,ambient techno,cologne electronic,compositional ambient,drone,https://api.spotify.com/v1/artists/0J8cNhY7V2NoRt9O6uCeUX,0J8cNhY7V2NoRt9O6uCeUX,640,https://i.scdn.co/image/b596cf92a56b8e268e00b134b20573e8a81877ac,640,gej,40.0,artist,spotify:artist:0J8cNhY7V2NoRt9O6uCeUX,dub techno,experimental,intelligent dance music,microhouse,minimal techno,outsider house,,,,,,,,
77,https://open.spotify.com/artist/2rcnAZ6DvORQ365X3zVYpr,,61063.0,abstract,ambient,compositional ambient,drift,drone,https://api.spotify.com/v1/artists/2rcnAZ6DvORQ365X3zVYpr,2rcnAZ6DvORQ365X3zVYpr,665,https://i.scdn.co/image/27d5f3835207c457a51e06dfad8ead34d75901ea,1000,gej,49.0,artist,spotify:artist:2rcnAZ6DvORQ365X3zVYpr,dub techno,fourth world,intelligent dance music,microhouse,minimal techno,nordic ambient,,,,,,,,
81,https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7,,5164314.0,g funk,gangster rap,hip hop,rap,west coast rap,https://api.spotify.com/v1/artists/6DPYiyq5kWVQS4RGwxzPC7,6DPYiyq5kWVQS4RGwxzPC7,1005,https://i.scdn.co/image/83d2489cade1dadcdc533ddbcd74993d0ca6d4cb,1000,gej,82.0,artist,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,,,,,,,,,,,,,,
85,https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG,,6189824.0,g funk,gangster rap,hip hop,rap,west coast rap,https://api.spotify.com/v1/artists/7hJcb9fa4alzcOq3EaNPoG,7hJcb9fa4alzcOq3EaNPoG,640,https://i.scdn.co/image/11208d65843456cf3854717b8e411ef8fede7141,640,gej,86.0,artist,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,,,,,,,,,,,,,,
88,https://open.spotify.com/artist/1qiwaJwjKod5WhcYZ76O1B,,90853.0,ambient,art pop,canadian experimental,compositional ambient,drone,https://api.spotify.com/v1/artists/1qiwaJwjKod5WhcYZ76O1B,1qiwaJwjKod5WhcYZ76O1B,640,https://i.scdn.co/image/a162f75d025da4ca67d1a2babfece7d3f70e3123,640,gej,47.0,artist,spotify:artist:1qiwaJwjKod5WhcYZ76O1B,electronica,experimental,fourth world,freak folk,intelligent dance music,microhouse,warm drone,,,,,,,
91,https://open.spotify.com/artist/01mXk9IDlVczWwZvVHAiIS,,52518.0,indie jazz,indie soul,uk contemporary jazz,,,https://api.spotify.com/v1/artists/01mXk9IDlVczWwZvVHAiIS,01mXk9IDlVczWwZvVHAiIS,640,https://i.scdn.co/image/0e6b6f2ba07c3fc5fe453ff5e10c193b7cd207ee,640,gej,50.0,artist,spotify:artist:01mXk9IDlVczWwZvVHAiIS,,,,,,,,,,,,,,
94,https://open.spotify.com/artist/2wPDbhaGXCqROrVmwDdCrK,,131344.0,ambient,art pop,chamber psych,chillwave,compositional ambient,https://api.spotify.com/v1/artists/2wPDbhaGXCqROrVmwDdCrK,2wPDbhaGXCqROrVmwDdCrK,640,https://i.scdn.co/image/0513eb98de7ee505153e9175f79e3fb59457c9aa,640,gej,55.0,artist,spotify:artist:2wPDbhaGXCqROrVmwDdCrK,drone,electronica,escape room,experimental pop,fluxwork,fourth world,freak folk,hauntology,intelligent dance music,microhouse,outsider house,vaporwave,wonky,
97,https://open.spotify.com/artist/3r1XkJ7vCs8kHBSzGvPLdP,,248904.0,hip hop,rap,uk alternative hip hop,uk hip hop,,https://api.spotify.com/v1/artists/3r1XkJ7vCs8kHBSzGvPLdP,3r1XkJ7vCs8kHBSzGvPLdP,640,https://i.scdn.co/image/414c7b0cccef717535d546e27cb8523ebaad68f3,640,gej,70.0,artist,spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP,,,,,,,,,,,,,,
100,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,,5097439.0,hip hop,rap,,,,https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF,4V8LLVI7PbaPR0K2TGSxFF,640,https://i.scdn.co/image/fe839f5bd121774e64f377b5eead237c69a01711,640,gej,85.0,artist,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,,,,,,,,,,,,,,
103,https://open.spotify.com/artist/6w8h2uD28BEdg7bX4k3Lh7,,111030.0,dark post-punk,minimal wave,,,,https://api.spotify.com/v1/artists/6w8h2uD28BEdg7bX4k3Lh7,6w8h2uD28BEdg7bX4k3Lh7,640,https://i.scdn.co/image/ab67616d0000b273f134621be38f4fdabbf33442,640,gej,52.0,artist,spotify:artist:6w8h2uD28BEdg7bX4k3Lh7,,,,,,,,,,,,,,
106,https://open.spotify.com/artist/2AR42Ur9PcchQDtEdwkv4L,,191215.0,bass music,chamber psych,electronica,float house,future garage,https://api.spotify.com/v1/artists/2AR42Ur9PcchQDtEdwkv4L,2AR42Ur9PcchQDtEdwkv4L,640,https://i.scdn.co/image/75a24b90824a9208c5fdd94707c520c3e6c1cea4,640,gej,56.0,artist,spotify:artist:2AR42Ur9PcchQDtEdwkv4L,indie soul,microhouse,wonky,,,,,,,,,,,
109,https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM,,1101744.0,colombian pop,pop,,,,https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM,1U1el3k54VvEUzo3ybLPlM,640,https://i.scdn.co/image/49694baab505b05de6e31031a219f348a01ef618,640,gej,79.0,artist,spotify:artist:1U1el3k54VvEUzo3ybLPlM,,,,,,,,,,,,,,
112,https://open.spotify.com/artist/202HZzqKvPsMHcbwnDZx7u,,97103.0,art pop,electropop,escape room,glitchcore,hyperpop,https://api.spotify.com/v1/artists/202HZzqKvPsMHcbwnDZx7u,202HZzqKvPsMHcbwnDZx7u,640,https://i.scdn.co/image/c7c92b3f211c3a2097fc9966cc5e9793d007220b,640,gej,57.0,artist,spotify:artist:202HZzqKvPsMHcbwnDZx7u,transpop,,,,,,,,,,,,,
115,https://open.spotify.com/artist/4uFZsG1vXrPcvnZ4iSQyrx,,239264.0,minecraft,,,,,https://api.spotify.com/v1/artists/4uFZsG1vXrPcvnZ4iSQyrx,4uFZsG1vXrPcvnZ4iSQyrx,640,https://i.scdn.co/image/2d1073552c0a115e11a747f86971c8f1b5b378db,640,gej,70.0,artist,spotify:artist:4uFZsG1vXrPcvnZ4iSQyrx,,,,,,,,,,,,,,
118,https://open.spotify.com/artist/2VAvhf61GgLYmC6C8anyX1,,398887.0,ambient,electronica,intelligent dance music,microhouse,scottish electronic,https://api.spotify.com/v1/artists/2VAvhf61GgLYmC6C8anyX1,2VAvhf61GgLYmC6C8anyX1,902,https://i.scdn.co/image/c533bf6f08a42119065d8c2171cdfa8e96720b4c,1000,gej,61.0,artist,spotify:artist:2VAvhf61GgLYmC6C8anyX1,trip hop,,,,,,,,,,,,,
122,https://open.spotify.com/artist/1ky3oGuE5XOsOzqiFEGwqR,,24660.0,afrofuturism,british jazz,indie jazz,indie soul,,https://api.spotify.com/v1/artists/1ky3oGuE5XOsOzqiFEGwqR,1ky3oGuE5XOsOzqiFEGwqR,640,https://i.scdn.co/image/cb0f29ae5f7f89b29eb5410b69ed323bb4965dec,640,gej,47.0,artist,spotify:artist:1ky3oGuE5XOsOzqiFEGwqR,,,,,,,,,,,,,,
125,https://open.spotify.com/artist/0ONHkAv9pCAFxb0zJwDNTy,,1770749.0,gangster rap,hip hop,pop rap,rap,southern hip hop,https://api.spotify.com/v1/artists/0ONHkAv9pCAFxb0zJwDNTy,0ONHkAv9pCAFxb0zJwDNTy,640,https://i.scdn.co/image/9af694963c6fea22c1f1ec23771b9c39fd13c281,640,gej,74.0,artist,spotify:artist:0ONHkAv9pCAFxb0zJwDNTy,trap,underground hip hop,virginia hip hop,,,,,,,,,,,
128,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj,,1714433.0,ambient pop,dream pop,el paso indie,shoegaze,,https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj,1QAJqy2dA3ihHBFIHRphZj,640,https://i.scdn.co/image/074a07d0cbf2a30290b5b55b152952e3c7011341,640,gej,75.0,artist,spotify:artist:1QAJqy2dA3ihHBFIHRphZj,,,,,,,,,,,,,,
131,https://open.spotify.com/artist/29XOeO6KIWxGthejQqn793,,565911.0,afrofuturism,alternative hip hop,chillwave,electronica,escape room,https://api.spotify.com/v1/artists/29XOeO6KIWxGthejQqn793,29XOeO6KIWxGthejQqn793,640,https://i.scdn.co/image/eeb8b29fbdf6b259b70495ba52de0ee82a42e110,640,gej,62.0,artist,spotify:artist:29XOeO6KIWxGthejQqn793,experimental hip hop,glitch,glitch hop,hip hop,intelligent dance music,jazztronica,psychedelic hip hop,wonky,,,,,,
134,https://open.spotify.com/artist/4wyNyxs74Ux8UIDopNjIai,,533791.0,,,,,,https://api.spotify.com/v1/artists/4wyNyxs74Ux8UIDopNjIai,4wyNyxs74Ux8UIDopNjIai,640,https://i.scdn.co/image/69fb04c9a7d9d4c9470e62445c4075e6838aa6c9,640,gej,65.0,artist,spotify:artist:4wyNyxs74Ux8UIDopNjIai,,,,,,,,,,,,,,
137,https://open.spotify.com/artist/5N5tQ9Dx1h8Od7aRmGj7Fi,,396057.0,alternative rock,dance rock,dark wave,gothic rock,new wave,https://api.spotify.com/v1/artists/5N5tQ9Dx1h8Od7aRmGj7Fi,5N5tQ9Dx1h8Od7aRmGj7Fi,686,https://i.scdn.co/image/9676688ae196b8abf4ed89ce6620a7ad04027095,1000,gej,56.0,artist,spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi,post-punk,uk post-punk,,,,,,,,,,,,
141,https://open.spotify.com/artist/710FHFQeXKC6dZGCxt7kQh,,93286.0,indie jazz,indie soul,,,,https://api.spotify.com/v1/artists/710FHFQeXKC6dZGCxt7kQh,710FHFQeXKC6dZGCxt7kQh,640,https://i.scdn.co/image/65d678a0809beb267f5dea4df1384e694d2b2b7e,640,gej,45.0,artist,spotify:artist:710FHFQeXKC6dZGCxt7kQh,,,,,,,,,,,,,,
144,https://open.spotify.com/artist/762310PdDnwsDxAQxzQkfX,,3342740.0,dance rock,new romantic,new wave,permanent wave,synthpop,https://api.spotify.com/v1/artists/762310PdDnwsDxAQxzQkfX,762310PdDnwsDxAQxzQkfX,640,https://i.scdn.co/image/2ec1d1c7a48df4244f0ba708eafd28b7afa6166b,640,gej,77.0,artist,spotify:artist:762310PdDnwsDxAQxzQkfX,,,,,,,,,,,,,,
147,https://open.spotify.com/artist/6BuDxEE5rfuYeyhxQsl53K,,75045.0,ambient,art pop,bass music,chamber psych,chillwave,https://api.spotify.com/v1/artists/6BuDxEE5rfuYeyhxQsl53K,6BuDxEE5rfuYeyhxQsl53K,1000,https://i.scdn.co/image/07c76d225bf121433c54bf1179937c37d55dce0e,1000,gej,49.0,artist,spotify:artist:6BuDxEE5rfuYeyhxQsl53K,deconstructed club,dub techno,electronica,escape room,experimental pop,float house,fluxwork,future garage,intelligent dance music,microhouse,minimal techno,outsider house,vaporwave,wonky
151,https://open.spotify.com/artist/7MSUfLeTdDEoZiJPDSBXgi,,447028.0,ambient,art pop,art rock,compositional ambient,dance rock,https://api.spotify.com/v1/artists/7MSUfLeTdDEoZiJPDSBXgi,7MSUfLeTdDEoZiJPDSBXgi,1000,https://i.scdn.co/image/1068dadfb18122d709253d8aac9a10e2b1ad08d7,1000,gej,65.0,artist,spotify:artist:7MSUfLeTdDEoZiJPDSBXgi,drone,experimental,experimental ambient,fourth world,glam rock,minimalism,,,,,,,,
155,https://open.spotify.com/artist/7w29UYBi0qsHi5RTcv3lmA,,1204618.0,alternative dance,art pop,dance pop,electronica,experimental pop,https://api.spotify.com/v1/artists/7w29UYBi0qsHi5RTcv3lmA,7w29UYBi0qsHi5RTcv3lmA,640,https://i.scdn.co/image/5001ca3c3cd95734aac7320d2199b9b515595375,640,gej,65.0,artist,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,experimental vocal,icelandic experimental,icelandic pop,metropopolis,permanent wave,trip hop,,,,,,,,
158,https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG,,329749.0,art pop,indie folk,indie pop,indie rock,,https://api.spotify.com/v1/artists/1r1uxoy19fzMxunt3ONAkG,1r1uxoy19fzMxunt3ONAkG,640,https://i.scdn.co/image/1c90d650ee787a51e18e475584b595c9234eac48,640,gej,75.0,artist,spotify:artist:1r1uxoy19fzMxunt3ONAkG,,,,,,,,,,,,,,
